Timestamp,Topic,Room,Data_Payload
"31/3/2569 19:15:25","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:11:52";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:15:30","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:11:57";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:15:35","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:12:02";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:01","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:21:28";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:02","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":false;"RFID":"WEB";"Timestamp":"1999-11-30 00:21:28";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:04","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:21:31";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:07","m5/room1/power","room1","{"room":"room1";"current_amp":0.06;"power_watt":0.29;"Timestamp":"1999-11-30 00:21:33";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:12","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.25;"Timestamp":"1999-11-30 00:21:38";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:17","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.24;"Timestamp":"1999-11-30 00:21:43";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:22","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.24;"Timestamp":"1999-11-30 00:21:48";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:27","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.24;"Timestamp":"1999-11-30 00:21:53";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:32","m5/room1/power","room1","{"room":"room1";"current_amp":0.04;"power_watt":0.21;"Timestamp":"1999-11-30 00:21:58";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:33","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":true;"RFID":null;"Timestamp":"1999-11-30 00:22:00";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:36","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:22:03";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:37","m5/room1/power","room1","{"room":"room1";"current_amp":0.14;"power_watt":0.71;"Timestamp":"1999-11-30 00:22:04";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:42","m5/room1/power","room1","{"room":"room1";"current_amp":0.06;"power_watt":0.31;"Timestamp":"1999-11-30 00:22:09";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:47","m5/room1/power","room1","{"room":"room1";"current_amp":0.07;"power_watt":0.33;"Timestamp":"1999-11-30 00:22:14";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:47","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":true;"RFID":null;"Timestamp":"1999-11-30 00:22:14";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:50","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:22:17";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:52","m5/room1/power","room1","{"room":"room1";"current_amp":0.07;"power_watt":0.33;"Timestamp":"1999-11-30 00:22:19";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:25:57","m5/room1/power","room1","{"room":"room1";"current_amp":0.06;"power_watt":0.28;"Timestamp":"1999-11-30 00:22:24";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:02","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.26;"Timestamp":"1999-11-30 00:22:29";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:07","m5/room1/power","room1","{"room":"room1";"current_amp":0.06;"power_watt":0.29;"Timestamp":"1999-11-30 00:22:34";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:10","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":false;"RFID":"4F140D35";"Timestamp":"1999-11-30 00:22:37";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:13","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:22:40";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:13","m5/room1/power","room1","{"room":"room1";"current_amp":0.07;"power_watt":0.37;"Timestamp":"1999-11-30 00:22:40";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:18","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.27;"Timestamp":"1999-11-30 00:22:45";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:23","m5/room1/power","room1","{"room":"room1";"current_amp":0.07;"power_watt":0.34;"Timestamp":"1999-11-30 00:22:50";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:24","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":false;"RFID":"4F140D35";"Timestamp":"1999-11-30 00:22:51";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:27","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:22:54";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:28","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.27;"Timestamp":"1999-11-30 00:22:55";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:34","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.23;"Timestamp":"1999-11-30 00:23:00";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:34","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":false;"RFID":"4F140D35";"Timestamp":"1999-11-30 00:23:00";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:37","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:23:03";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:39","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.23;"Timestamp":"1999-11-30 00:23:05";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:44","m5/room1/power","room1","{"room":"room1";"current_amp":0.05;"power_watt":0.27;"Timestamp":"1999-11-30 00:23:10";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:49","m5/room1/power","room1","{"room":"room1";"current_amp":0.13;"power_watt":0.65;"Timestamp":"1999-11-30 00:23:15";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:26:59","m5/room1/power","room1","{"room":"room1";"current_amp":0.06;"power_watt":0.32;"Timestamp":"1999-11-30 00:23:25";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
